index, name                                                   , type      , volume-mm3 
344 , ctx-lh-postcentral_3                                   , cortical  ,      691.0 
345 , ctx-lh-postcentral_4                                   , cortical  ,      866.0 
346 , ctx-lh-postcentral_5                                   , cortical  ,      327.0 
347 , ctx-lh-postcentral_6                                   , cortical  ,      808.0 
340 , ctx-lh-isthmuscingulate_1                              , cortical  ,     1616.0 
341 , ctx-lh-isthmuscingulate_2                              , cortical  ,     1461.0 
342 , ctx-lh-postcentral_1                                   , cortical  ,      848.0 
343 , ctx-lh-postcentral_2                                   , cortical  ,     1049.0 
348 , ctx-lh-postcentral_7                                   , cortical  ,      609.0 
349 , ctx-lh-postcentral_8                                   , cortical  ,      647.0 
298 , ctx-lh-superiorfrontal_12                              , cortical  ,     1288.0 
299 , ctx-lh-superiorfrontal_13                              , cortical  ,     1004.0 
296 , ctx-lh-superiorfrontal_10                              , cortical  ,      853.0 
297 , ctx-lh-superiorfrontal_11                              , cortical  ,     1507.0 
294 , ctx-lh-superiorfrontal_8                               , cortical  ,     2394.0 
295 , ctx-lh-superiorfrontal_9                               , cortical  ,     1600.0 
292 , ctx-lh-superiorfrontal_6                               , cortical  ,     1262.0 
293 , ctx-lh-superiorfrontal_7                               , cortical  ,      824.0 
290 , ctx-lh-superiorfrontal_4                               , cortical  ,     1529.0 
291 , ctx-lh-superiorfrontal_5                               , cortical  ,     1261.0 
199 , ctx-rh-middletemporal_7                                , cortical  ,     2416.0 
198 , ctx-rh-middletemporal_6                                , cortical  ,     1308.0 
195 , ctx-rh-middletemporal_3                                , cortical  ,     1180.0 
194 , ctx-rh-middletemporal_2                                , cortical  ,     1303.0 
197 , ctx-rh-middletemporal_5                                , cortical  ,     1383.0 
196 , ctx-rh-middletemporal_4                                , cortical  ,      929.0 
191 , ctx-rh-inferiortemporal_6                              , cortical  ,     1303.0 
190 , ctx-rh-inferiortemporal_5                              , cortical  ,     2373.0 
193 , ctx-rh-middletemporal_1                                , cortical  ,     1245.0 
192 , ctx-rh-inferiortemporal_7                              , cortical  ,     1887.0 
270 , ctx-lh-parsopercularis_1                               , cortical  ,     1429.0 
271 , ctx-lh-parsopercularis_2                               , cortical  ,     1026.0 
