index, name                                                   , type      , volume-mm3 
133 , ctx-lh-transversetemporal_1                            , cortical  ,     1032.0 
132 , ctx-lh-superiortemporal_2                              , cortical  ,     7018.0 
131 , ctx-lh-superiortemporal_1                              , cortical  ,     6499.0 
130 , ctx-lh-bankssts_1                                      , cortical  ,     3716.0 
137 , Left-Caudate                                           , subcortical,     4934.0 
136 , Left-Thalamus_Proper                                   , subcortical,    10785.0 
135 , ctx-lh-insula_2                                        , cortical  ,     3994.0 
134 , ctx-lh-insula_1                                        , cortical  ,     3874.0 
139 , Left-Pallidum                                          , subcortical,     2631.0 
138 , Left-Putamen                                           , subcortical,     6457.0 
24  , ctx-rh-postcentral_1                                   , cortical  ,     3429.0 
25  , ctx-rh-postcentral_2                                   , cortical  ,     4248.0 
26  , ctx-rh-supramarginal_1                                 , cortical  ,     4680.0 
27  , ctx-rh-supramarginal_2                                 , cortical  ,     5914.0 
20  , ctx-rh-rostralanteriorcingulate_1                      , cortical  ,     2654.0 
21  , ctx-rh-caudalanteriorcingulate_1                       , cortical  ,     2386.0 
22  , ctx-rh-posteriorcingulate_1                            , cortical  ,     3645.0 
23  , ctx-rh-isthmuscingulate_1                              , cortical  ,     3008.0 
28  , ctx-rh-superiorparietal_1                              , cortical  ,     3745.0 
29  , ctx-rh-superiorparietal_2                              , cortical  ,     3462.0 
4   , ctx-rh-frontalpole_1                                   , cortical  ,      950.0 
8   , ctx-rh-parsopercularis_1                               , cortical  ,     4671.0 
120 , ctx-lh-lingual_2                                       , cortical  ,     2669.0 
121 , ctx-lh-fusiform_1                                      , cortical  ,     3293.0 
122 , ctx-lh-fusiform_2                                      , cortical  ,     7014.0 
123 , ctx-lh-parahippocampal_1                               , cortical  ,     2324.0 
124 , ctx-lh-entorhinal_1                                    , cortical  ,     2371.0 
125 , ctx-lh-temporalpole_1                                  , cortical  ,     3462.0 
126 , ctx-lh-inferiortemporal_1                              , cortical  ,     6321.0 
127 , ctx-lh-inferiortemporal_2                              , cortical  ,     6175.0 
128 , ctx-lh-middletemporal_1                                , cortical  ,     4618.0 
129 , ctx-lh-middletemporal_2                                , cortical  ,     8385.0 
