index, name                                                   , type      , volume-mm3 
24  , ctx-rh-lingual                                         , cortical  ,     5283.0 
25  , ctx-rh-fusiform                                        , cortical  ,    10966.0 
26  , ctx-rh-parahippocampal                                 , cortical  ,     2301.0 
27  , ctx-rh-entorhinal                                      , cortical  ,     2235.0 
20  , ctx-rh-precuneus                                       , cortical  ,    11921.0 
21  , ctx-rh-cuneus                                          , cortical  ,     1854.0 
22  , ctx-rh-pericalcarine                                   , cortical  ,     1664.0 
23  , ctx-rh-lateraloccipital                                , cortical  ,    10446.0 
28  , ctx-rh-temporalpole                                    , cortical  ,     3068.0 
29  , ctx-rh-inferiortemporal                                , cortical  ,    12492.0 
4   , ctx-rh-medialorbitofrontal                             , cortical  ,     5995.0 
8   , ctx-rh-superiorfrontal                                 , cortical  ,    22113.0 
59  , ctx-lh-medialorbitofrontal                             , cortical  ,     6121.0 
58  , ctx-lh-frontalpole                                     , cortical  ,      731.0 
55  , Right-Hypothalamus                                     , subcortical,     1347.0 
54  , Right-VentralDC                                        , subcortical,     4869.0 
57  , ctx-lh-parsorbitalis                                   , cortical  ,     2924.0 
56  , ctx-lh-lateralorbitofrontal                            , cortical  ,    10272.0 
51  , Right-Hippocampus_Molecular_layer_HP                   , subcortical,      750.0 
50  , Right-Hippocampus_Fimbria                              , subcortical,       90.0 
53  , Right-Hippocampus_Tail                                 , subcortical,      867.0 
52  , Right-Hippocampus_Hippocampal_fissure                  , subcortical,       85.0 
88  , ctx-lh-transversetemporal                              , cortical  ,     1032.0 
89  , ctx-lh-insula                                          , cortical  ,     7868.0 
111 , brainstem                                              , subcortical,    30205.0 
110 , Left-Hypothalamus                                      , subcortical,     1336.0 
82  , ctx-lh-entorhinal                                      , cortical  ,     2371.0 
83  , ctx-lh-temporalpole                                    , cortical  ,     3462.0 
80  , ctx-lh-fusiform                                        , cortical  ,    10307.0 
81  , ctx-lh-parahippocampal                                 , cortical  ,     2324.0 
86  , ctx-lh-bankssts                                        , cortical  ,     3716.0 
87  , ctx-lh-superiortemporal                                , cortical  ,    13517.0 
84  , ctx-lh-inferiortemporal                                , cortical  ,    12496.0 
85  , ctx-lh-middletemporal                                  , cortical  ,    13003.0 
3   , ctx-rh-frontalpole                                     , cortical  ,      950.0 
7   , ctx-rh-rostralmiddlefrontal                            , cortical  ,    17488.0 
108 , Left-Hippocampus_Tail                                  , subcortical,      846.0 
109 , Left-VentralDC                                         , subcortical,     4918.0 
102 , Left-Hippocampus_CA4                                   , subcortical,      375.0 
103 , Left-Hippocampus_GCDG                                  , subcortical,      423.0 
