index, name                                                   , type      , volume-mm3 
216 , ctx-lh-superiortemporal_2                              , cortical  ,     1857.0 
217 , ctx-lh-superiortemporal_3                              , cortical  ,     2374.0 
214 , ctx-lh-bankssts_1                                      , cortical  ,     3716.0 
215 , ctx-lh-superiortemporal_1                              , cortical  ,     2278.0 
212 , ctx-lh-middletemporal_3                                , cortical  ,     2566.0 
213 , ctx-lh-middletemporal_4                                , cortical  ,     5810.0 
210 , ctx-lh-middletemporal_1                                , cortical  ,     2253.0 
211 , ctx-lh-middletemporal_2                                , cortical  ,     2374.0 
218 , ctx-lh-superiortemporal_4                              , cortical  ,     1538.0 
219 , ctx-lh-superiortemporal_5                              , cortical  ,     5470.0 
133 , ctx-lh-rostralmiddlefrontal_5                          , cortical  ,     1663.0 
132 , ctx-lh-rostralmiddlefrontal_4                          , cortical  ,     2667.0 
131 , ctx-lh-rostralmiddlefrontal_3                          , cortical  ,     3663.0 
130 , ctx-lh-rostralmiddlefrontal_2                          , cortical  ,     2551.0 
137 , ctx-lh-superiorfrontal_3                               , cortical  ,     3639.0 
136 , ctx-lh-superiorfrontal_2                               , cortical  ,     3974.0 
135 , ctx-lh-superiorfrontal_1                               , cortical  ,     2841.0 
134 , ctx-lh-rostralmiddlefrontal_6                          , cortical  ,     2349.0 
95  , ctx-rh-middletemporal_1                                , cortical  ,     2548.0 
139 , ctx-lh-superiorfrontal_5                               , cortical  ,     3659.0 
138 , ctx-lh-superiorfrontal_4                               , cortical  ,     2432.0 
225 , Left-Caudate                                           , subcortical,     4934.0 
24  , ctx-rh-superiorfrontal_5                               , cortical  ,     3600.0 
25  , ctx-rh-superiorfrontal_6                               , cortical  ,     2298.0 
26  , ctx-rh-superiorfrontal_7                               , cortical  ,      949.0 
27  , ctx-rh-superiorfrontal_8                               , cortical  ,     1809.0 
20  , ctx-rh-superiorfrontal_1                               , cortical  ,     3057.0 
21  , ctx-rh-superiorfrontal_2                               , cortical  ,     3721.0 
22  , ctx-rh-superiorfrontal_3                               , cortical  ,     3945.0 
23  , ctx-rh-superiorfrontal_4                               , cortical  ,     2734.0 
223 , ctx-lh-insula_3                                        , cortical  ,     3154.0 
28  , ctx-rh-caudalmiddlefrontal_1                           , cortical  ,     1686.0 
29  , ctx-rh-caudalmiddlefrontal_2                           , cortical  ,     1153.0 
222 , ctx-lh-insula_2                                        , cortical  ,     2842.0 
4   , ctx-rh-lateralorbitofrontal_4                          , cortical  ,     1313.0 
8   , ctx-rh-medialorbitofrontal_2                           , cortical  ,     1817.0 
220 , ctx-lh-transversetemporal_1                            , cortical  ,     1032.0 
68  , ctx-rh-precuneus_2                                     , cortical  ,     2297.0 
227 , Left-Pallidum                                          , subcortical,     2631.0 
120 , ctx-lh-parsorbitalis_1                                 , cortical  ,     2924.0 
121 , ctx-lh-frontalpole_1                                   , cortical  ,      731.0 
122 , ctx-lh-medialorbitofrontal_1                           , cortical  ,     2973.0 
123 , ctx-lh-medialorbitofrontal_2                           , cortical  ,     1968.0 
124 , ctx-lh-medialorbitofrontal_3                           , cortical  ,     1180.0 
125 , ctx-lh-parstriangularis_1                              , cortical  ,     1186.0 
126 , ctx-lh-parstriangularis_2                              , cortical  ,     3026.0 
127 , ctx-lh-parsopercularis_1                               , cortical  ,     2459.0 
128 , ctx-lh-parsopercularis_2                               , cortical  ,     2811.0 
129 , ctx-lh-rostralmiddlefrontal_1                          , cortical  ,     3542.0 
69  , ctx-rh-precuneus_3                                     , cortical  ,     2257.0 
91  , ctx-rh-inferiortemporal_1                              , cortical  ,     4258.0 
59  , ctx-rh-superiorparietal_6                              , cortical  ,     1331.0 
58  , ctx-rh-superiorparietal_5                              , cortical  ,     1508.0 
55  , ctx-rh-superiorparietal_2                              , cortical  ,     1412.0 
54  , ctx-rh-superiorparietal_1                              , cortical  ,     2328.0 
57  , ctx-rh-superiorparietal_4                              , cortical  ,     1682.0 
56  , ctx-rh-superiorparietal_3                              , cortical  ,     1785.0 
51  , ctx-rh-supramarginal_2                                 , cortical  ,     3070.0 
50  , ctx-rh-supramarginal_1                                 , cortical  ,     1605.0 
53  , ctx-rh-supramarginal_4                                 , cortical  ,     3504.0 
52  , ctx-rh-supramarginal_3                                 , cortical  ,     2415.0 
90  , ctx-rh-temporalpole_1                                  , cortical  ,     3068.0 
93  , ctx-rh-inferiortemporal_3                              , cortical  ,     2373.0 
